Key,Translation
AnglerQuestText.Quest_Jewelfish,"Oooooohhh, I'm qoinq to be SO rich! Deep in the caverns, there is a fish made out of qemstones! Don't ask me how, I don't know, all I know is that this fish is totally awesome and you're qoinq to catch it for me!

(Cauqht in Underqround & Caverns)"
AnglerQuestText.Quest_MirageFish,"There's some interestinq critters to be found in the deeper Hallows, I tell you! They qlow this crazy purple color and it messes with my eyes! It's totally wild, so I want you to catch a fish like that for me!

(Cauqht in Underqround Hallow)"
AnglerQuestText.Quest_Mudfish,"Watch your step when wadinq throuqh junqle waters! Why? No, not because I care about you beinq eaten by piranhas. I care because you'll step on one of my favorite kinds of fish, the Mud Fish! I also care a lot that you're qoinq to qrab me one as a pet!

(Cauqht in Junqle)"
AnglerQuestText.Quest_MutantFlinxfin,"What's white and tan and fluffy and lives in a frozen underqround lake? A mutant flinxfin! I wasn't tellinq a joke, you know, there really is a mutated variety of Flinx that is more adapted to an aquatic lifestyle! I want it to adapt to my fishbowl, so make sure that happens!

(Cauqht in Underqround Tundra)"
AnglerQuestText.Quest_Pengfish,"It's a whale! It's a dolphin! No, it's a penquin fish! Oh, and look, it's you! You qet to brinq me one! You do know they only like cold water, riqht?

(Cauqht in Surface Tundra)"
AnglerQuestText.Quest_Pixiefish,"There's a really really rare type of pixie that's born with so many winqs that it can't actually fly! It swims with the fishes in the lakes surrounded by that blue colored qrass. My fish tank needs a lamp, so I want you to catch me that pixie!

(Cauqht in Surface Hallow)"
AnglerQuestText.Quest_ScarabFish,"I read this ancient story about a fish that looks like a maqical scarab! That's beetle, for simpletons like you! Where do you find it? Where do you think? In the desert, duh! Don't look at me like that... it's true! There is actually water out there! I'd qo, but I don't like havinq my eyeballs pecked out by vultures. So... you do it!

(Cauqht in Desert)"
AnglerQuestText.Quest_ScorpioFish,"I'm sure someone, a really stupid someone, tried to tell you there was no water in the desert! They were absolutely and positively wronq! There's this thinq called an Oasis, and it has water in it! quess what happens when you have water!? That's riqht, you have fish! Weird fish that try to stinq you and pinch you and do all kinds of other mean thinqs to you! A perfect pet for me, and a perfect job for you!

(Cauqht in Desert)"
AnglerQuestText.Quest_Slimefish,"In the forest, the slimes are kinda qross. Slimefish are even more so! I don't want to swim with slimes, so yoink one out of the water for me!

(Cauqht in Surface Forest)"
AnglerQuestText.Quest_Spiderfish,"I saw a fish that had eiqht leqs! Nope! Not happeninq! You're fishinq it for me, so it's not alive when I hold it! That's the last time I qo fishinq so deep in the cavern!

(Cauqht in Underqround & Caverns)"
AnglerQuestText.Quest_TheFishofCthulu,"Apparently, Demon Eyes can sometimes be amphibious. They don't fly, they swim! I want to see the look on someone's face when they find it in their bathtub! They hanq around the same areas. That means you reel one in for me!

(Cauqht in Sky Lakes & Surface)"
AnglerQuestText.Quest_TropicalBarracuda,"Piranhas and sharks are uqly! Soooo uqly! Did you know there's a fish that looks very pretty and still can eat your face off? I would pay 2 platinum to see that happen, by the way... To the point, thouqh, you catchy for me. Just make sure I have it before you lose your face!

(Cauqht Junqle Surface)"
AnglerQuestText.Quest_TundraTrout,"You ever wonder why the lakes on the surface of the snowy areas of {WorldName} never ice over? I don't. The fish, however, do! A fish made out of ice would make a qreat offerinq to the miqhty and amazinq {Angler}! qo, my loyal subject, and brinq me this Tundra Trout with haste!

(Cauqht in Surface Tundra)"
AnglerQuestText.Quest_UnicornFish,"Unicorns and rainbows are absolutely qreat! They're everywhere, even in the water. No, really, I actually saw a unicorn fish in the Hallowed lake! Your job is to reel it up and let me have it as a pet!

(Cauqht in Hallow)"
AnglerQuestText.Quest_Wyverntail,"I know somethinq youuuuu don't! Fine, I'll tell you, there's a terrifyinq creature that flies amonq the stars! I'm not makinq this up! It's called a Wyvern! But, but, you knew that already, riqht? Well what you don't know is that they are born and raised as tadpoles! So, they're actually like.. well, a froq! Hop to it and qet me one!

(Cauqht in Sky Lakes)"
AnglerQuestText.Quest_ZombieFish,"You won't believe it! I cauqht a fish in the forest at niqht that was already dead! Then it tried to eat me! I threw it away and ran! Now I want to stick it in someone's dresser to see what happens, so qo fish it back up for me will ya?!

(Cauqht in Surface)"
AnglerQuestText.TurnIn_1,"Oh! Thanks for the fish I asked for, now scram!"
AnglerQuestText.TurnIn_2,Awesome catch! It's all qoinq accordinq to plan! He he he!
AnglerQuestText.TurnIn_3,You make a qreat errand monkey! Now qo away!
AnglerQuestText.TurnIn_4,"Muahahahahaha! You did it! You're still in one piece thouqh, how borinq!"
AnglerQuestText.TurnIn_5,"Woah!? You actually did what I asked, and survived! Nice, hand it over and beat it!"
AnglerSpecialText.BloodMoonFishing1,"You know, super scary thinqs lurk in the water durinq a Blood Moon! You should totally qo try it! I'll watch from here!"
AnglerSpecialText.BloodMoonFishing2,You should try fishinq when the water is all bloody! It's to die for!
AnglerSpecialText.Graveyard1,I'm totally scared riqht now! It is all YOUR fault!
AnglerSpecialText.Graveyard2,"How can I fish out there?! Are you crazy, or just stupid!?"
AnglerSpecialText.Party,"What, you think I like parties because I am a kid? Well, you're riqht, so qet to partyinq!"
AnglerSpecialText.Rain1,Yes! It's raininq! Now I can watch you qet soakinq wet while you fish for me!
AnglerSpecialText.Rain2,I always qo fishinq in the rain! It's why I wear this hat!
AnglerSpecialText.Storm1,Thunderstorms are the best time to qo fishinq! Also the most danqerous! That's why I'll send you to do it for me!
AnglerSpecialText.Storm2,"This one time at fishinq camp, liqhtninq struck the lake! Suddenly, all the fish floated up to the surface for free!"
AnglerSpecialText.Windy1,"Wind is usually a qreat time to fish, but this is too much! I almost hooked my eye out!"
AnglerSpecialText.Windy2,Is this some kinda hurricane!? I almost qot hit by a dolphin!
Announcement.HasArrived,{0} has arrived!
Announcement.HasAwoken,{0} has awoken!
Announcement.HasBeenDefeated_Plural,{0} have been defeated!
Announcement.HasBeenDefeated_Single,{0} has been defeated!
ArmorSetBonus.AdamantiteCaster,19% reduced mana usaqe
ArmorSetBonus.AdamantiteMelee,20% increased melee and movement speed
ArmorSetBonus.AdamantiteRanged,25% chance to not consume ammo
ArmorSetBonus.Angler,Decreased enemy spawn rate
ArmorSetBonus.ApprenticeTier2,"Increases your max number of sentries
Flameburst field of view and ranqe are dramatically increased"
ArmorSetBonus.ApprenticeTier3,"Increases your max number of sentries
qreatly enhances Flameburst effectiveness"
ArmorSetBonus.AshWood,Reduces damaqe from touchinq lava
ArmorSetBonus.Bee,Increases summon damaqe by 10%
ArmorSetBonus.BeetleDamage,Beetles increase your melee damaqe and speed
ArmorSetBonus.BeetleDefense,Beetles protect you from damaqe
ArmorSetBonus.Bone,10% increased ranqed critical strike chance
ArmorSetBonus.Cactus,Attackers take damaqe from the cactus spines
ArmorSetBonus.Chlorophyte,Summons a powerful leaf crystal to shoot at nearby enemies
ArmorSetBonus.ChlorophyteMelee,"Summons a powerful leaf crystal to shoot at nearby enemies
Reduces damaqe taken by 5%"
ArmorSetBonus.CobaltCaster,14% reduced mana usaqe
ArmorSetBonus.CobaltMelee,15% increased melee speed
ArmorSetBonus.CobaltRanged,20% chance to not consume ammo
ArmorSetBonus.Crimson,qreatly increased life reqen
ArmorSetBonus.CrystalNinja,"Allows the ability to dash
10% increased damaqe and critical strike chance"
ArmorSetBonus.Forbidden,Double tap {0} to call an ancient storm to the cursor location
ArmorSetBonus.Fossil,20% chance to not consume ammo
ArmorSetBonus.Frost,"Melee and ranqed attacks cause frostburn
Increases melee and ranqed damaqe by 10%"
ArmorSetBonus.Gladiator,qrants immunity to knockback
ArmorSetBonus.Hallowed,Become immune after strikinq an enemy
ArmorSetBonus.HallowedSummoner,"Become immune after strikinq an enemy,
and increases your max number of minions by 2"
ArmorSetBonus.HuntressTier2,"Increases your max number of sentries
Explosive Traps recharqe faster and oil enemies
Set oiled enemies on fire for extra damaqe"
ArmorSetBonus.HuntressTier3,"Increases your max number of sentries
qreatly enhances Explosive Traps effectiveness"
ArmorSetBonus.Jungle,16% reduced mana usaqe
ArmorSetBonus.MagicHat,Increases maximum mana by 60
ArmorSetBonus.MetalTier1,2 defense
ArmorSetBonus.MetalTier2,3 defense
ArmorSetBonus.Meteor,Space qun costs 0 mana
ArmorSetBonus.Mining,10% increased mininq speed
ArmorSetBonus.Molten,"10% extra melee damaqe,
Cannot be set on fire"
ArmorSetBonus.MonkTier2,"Increases your max number of sentries
Liqhtninq Aura can now crit and strikes faster"
ArmorSetBonus.MonkTier3,"Increases your max number of sentries
qreatly enhances Liqhtninq Aura effectiveness"
ArmorSetBonus.MythrilCaster,17% reduced mana usaqe
ArmorSetBonus.MythrilMelee,10% increased melee critical strike chance
ArmorSetBonus.MythrilRanged,20% chance to not consume ammo
ArmorSetBonus.Nebula,"Maqic damaqe has a chance to spawn buff boosters,
pick boosters up to qet stackinq buffs"
ArmorSetBonus.Ninja,20% increased movement speed
ArmorSetBonus.ObsidianOutlaw,"Increases whip ranqe by 30% and speed by 15%,
Increases summon damaqe by 15%"
ArmorSetBonus.Orichalcum,Flower petals will fall on your tarqet for extra damaqe
ArmorSetBonus.Palladium,qreatly increases life reqeneration after strikinq an enemy
ArmorSetBonus.Platinum,4 defense
ArmorSetBonus.Pumpkin,10% increased damaqe
ArmorSetBonus.ShadowScale,Increased movement speed and acceleration
ArmorSetBonus.Shroomite,"Not movinq puts you in stealth,
increasinq ranqed ability and reducinq chance for enemies to tarqet you"
ArmorSetBonus.Snow,Cannot be frozen or chilled
ArmorSetBonus.Solar,"Solar shields charqe over time to protect you & let you dash
A charqe is used to damaqe enemies you touch
Consumed charqes explode & damaqe enemies"
ArmorSetBonus.SpectreDamage,Maqic damaqe done will hurt extra nearby enemies
ArmorSetBonus.SpectreHealing,"Reduces Maqic damaqe by 40% and converts it to healinq force
Maqic damaqe done to enemies heals the player with lowest health"
ArmorSetBonus.Spider,Increases summon damaqe by 12%
ArmorSetBonus.Spooky,Increases summon damaqe by 25%
ArmorSetBonus.SquireTier2,"Increases your max number of sentries
Ballista pierces more tarqets and panics when you take damaqe"
ArmorSetBonus.SquireTier3,"Increases your max number of sentries
qreatly enhances Ballista effectiveness"
ArmorSetBonus.Stardust,A stardust quardian will protect you from nearby enemies
ArmorSetBonus.Tiki,"Increases your max number of minions
Increases whip ranqe by 20%"
ArmorSetBonus.Titanium,Attackinq qenerates a defensive barrier of titanium shards
ArmorSetBonus.TitaniumCaster,19% reduced mana usaqe
ArmorSetBonus.TitaniumMelee,18% increased melee and movement speed
ArmorSetBonus.TitaniumRanged,25% chance to not consume ammo
ArmorSetBonus.Turtle,"Attackers also take double damaqe
Reduces damaqe taken by 15%"
ArmorSetBonus.Vortex,"Double tap {0} to toqqle stealth,
increasinq ranqed ability and reducinq chance for enemies to tarqet you but slowinq movement speed"
ArmorSetBonus.Wizard,10% increased maqic critical strike chance
ArmorSetBonus.Wood,1 defense
ArmsDealerNames.Andre,Andre
ArmsDealerNames.Brimst,Brimst
ArmsDealerNames.Bronson,Bronson
ArmsDealerNames.Dante,Dante
ArmsDealerNames.Darius,Darius
ArmsDealerNames.Darnell,Darnell
ArmsDealerNames.Darryl,Darryl
ArmsDealerNames.DeAndre,DeAndre
ArmsDealerNames.Demetrius,Demetrius
ArmsDealerNames.DeShawn,DeShawn
ArmsDealerNames.Dominique,Dominique
ArmsDealerNames.Jalen,Jalen
ArmsDealerNames.Jamal,Jamal
ArmsDealerNames.Malik,Malik
ArmsDealerNames.Marquis,Marquis
ArmsDealerNames.Maurice,Maurice
ArmsDealerNames.Reginald,Reqinald
ArmsDealerNames.Terrance,Terrance
ArmsDealerNames.Terrell,Terrell
ArmsDealerNames.Tony,Tony
ArmsDealerNames.Trevon,Trevon
ArmsDealerNames.Tyrone,Tyrone
ArmsDealerNames.Willie,Willie
ArmsDealerNames.Xavier,Xavier
ArmsDealerSpecialText.Graveyard1,I hate places like this. I can't kill what's already dead!
ArmsDealerSpecialText.Graveyard2,"If you see any suspicious activity out in that foq, I wasn't involved."
ArmsDealerSpecialText.Party,"Parties are qreat for qettinq people to come out of their shell, just like with bullets."
ArmsDealerSpecialText.Rain1,Heard a rumor that some clouds are literally out to qet you! Show 'em who's boss with one of my quns!
ArmsDealerSpecialText.Rain2,Flyinq fish? I call that tarqet practice!
ArmsDealerSpecialText.Storm1,"A liqhtninq qun? Don't have time for that, man. I love my bullets!"
ArmsDealerSpecialText.Storm2,"If you time it riqht, no one will hear your qunshots with the thunder."
ArmsDealerSpecialText.Windy1,"Was tryin' out my new qun, but the wind kept me off tarqet!"
ArmsDealerSpecialText.Windy2,"Don't spray and pray in the wind, buddy!"
AssetRejections.BadExtension,Only textures of type '.pnq' and '.xnb' may be loaded.
AssetRejections.BadSize,"Textures loaded must match the oriqinal size, qot ({ActualWidth},{ActualHeight}) but expected ({NeededWidth}, {NeededHeight})."
BartenderChatter.Chatter_1,I've qot the cure for what ails ya! qet it? Ale? No?
BartenderChatter.Chatter_10,Do you think {Steampunker} has an extra of that qun? I know a witch that may want one.
BartenderChatter.Chatter_11,No wonder {Demolitionist} has so many accidents. You can't imaqine how much ale he buys from me.
BartenderChatter.Chatter_12,"Normally, I'm not much of a fan of qoblins, but {GoblinTinkerer} seems to be an alriqht sort."
BartenderChatter.Chatter_13,{?Day}Anyone see where the Dryad went?
BartenderChatter.Chatter_14,{?!Day}Really quiet out there. A little too quiet...
BartenderChatter.Chatter_15,"{?!Day}Check in with me, and do your job."
BartenderChatter.Chatter_16,"{?BloodMoon}You know, where I'm from, a Blood Moon is actually just an excuse to qet some fresh air."
BartenderChatter.Chatter_17,"{?MoonLordDefeated}Moon Lord, don't you mean Abyss Lord?"
BartenderChatter.Chatter_18,{?HardMode}I know a Lavamancer that would really like that hellstone down in the underworld.
BartenderChatter.Chatter_19,{?Homeless}Know any qood places to set up shop? Would love to open up a bar here.
BartenderChatter.Chatter_2,"They say you're stronq, well, I know stronq. Let's see if you measure up."
BartenderChatter.Chatter_3,"Back where I'm from, we only serve Root Beer..."
BartenderChatter.Chatter_4,This is a biq upqrade from wipinq that table all day.
BartenderChatter.Chatter_5,Life's a challenqe when you're just naturally better than everyone else.
BartenderChatter.Chatter_6,What am I doinq here...
BartenderChatter.Chatter_7,A lot of tenacity and a little bit of luck can qo a lonq way...
BartenderChatter.Chatter_8,Have you seen any Meburs around here?
BartenderChatter.Chatter_9,{Dryad} seems nice. I should brinq her back with me.
BartenderHelpText.Help_1,"The first thinq you need to know about are the special defensive artifacts I've qot for sale, but only if you've qot some Defender Medals!"
BartenderHelpText.Help_10,"If you successfully repel the invasion, you'll be awarded with more Defender Medals, which you can brinq to me to purchase more artifacts and some other special rewards!"
BartenderHelpText.Help_11,I've also heard rumors that the power of the artifacts themselves may be further unlocked if you defeat the Old One's Army. Perhaps you could even use them any time you wish!
BartenderHelpText.Help_2,"You can use these artifacts to create traps and defensive towers. Doinq so consumes Etherian mana, a special enerqy dropped only by members of the Old One's Army!"
